name	research	build	venture	status	tam	tools	description
job-scam-detector	3	3	6	shipped	3	fetch-job-posting|verify-employer|generate-risk-report	Analyzes job postings for scam red flags, verifies employers, produces risk reports
rental-scam-detector	3	3	6	shipped	3	fetch-rental-listing|verify-rental-listing|write-risk-assessment	Rental listing scam analysis (platform risk, address verification, landlord checks, pricing)
company-briefing-agent	3	3	6	shipped	2	fetch-company-profile|research-reputation|write-briefing	Generates interview prep briefings with company overview, culture, news, talking points
contractor-trust-checker	3	3	6	shipped	2	search-contractor|verify-contractor|write-contractor-report	Pre-hire contractor due diligence (license, BBB, reviews, complaints, insurance)
dep-changelog-summarizer	3	3	6	shipped	1	scan-dependencies|fetch-changelogs|write-update-report	Reads package.json, fetches changelogs, summarizes breaking changes with urgency levels
repo-health-scanner	3	3	6	shipped	1	fetch-repo-info|analyze-community|write-health-report	Evaluates GitHub repo health (docs, maintenance, community) and produces graded report
npm-trust-checker	3	3	6	shipped	1	check-npm-registry|assess-package-security|write-trust-report	Pre-install npm package trust assessment (CVEs, malware, repo health, typosquatting)
haunted-domain-checker	3	3	6	shipped	0	fetch-domain-info|check-domain-reputation|write-domain-report	Pre-purchase domain reputation audit (RDAP, Wayback, blacklists, malware, email rep)
bootcamp-evaluator	3	3	6	shipped	1	search-bootcamp|evaluate-bootcamp|write-evaluation-report	Pre-enrollment bootcamp/course evaluation (reviews, outcomes, complaints, accreditation)
daycare-trust-checker	3	0	3	queued	2	search-daycare|verify-daycare|write-daycare-report	Pre-enrollment daycare/childcare due diligence (license, inspections, violations, reviews, complaints)
wedding-vendor-checker	3	0	3	queued	2	search-vendor|verify-vendor|write-vendor-report	Pre-booking wedding vendor trust check (reviews across platforms, BBB, business verification, scam reports)
auto-shop-trust-checker	3	0	3	queued	2	search-shop|verify-shop|write-shop-report	Pre-service auto repair shop vetting (ASE certification, BBB, reviews, complaints, pricing fairness)
property-tax-appeal-researcher	3	0	3	queued	2	gather-property-data|analyze-comparables|write-appeal-report	Property tax appeal research (comparable sales, assessment ratios, overvaluation analysis, filing guide)
